CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,WIMS,J31_172W,NP,1.182733,1.178530E+00,-355.363382944
Test2B,600.0,600.0,0.661,WIMS,J31_172W,NP,1.184033,1.179318E+00,-398.215252446
Test2C,900.0,600.0,0.661,WIMS,J31_172W,NP,1.174434,1.170795E+00,-309.85138373
Test2D,1200.0,600.0,0.661,WIMS,J31_172W,NP,1.1661370,1.163154E+00,-255.801848325
Test2E,600.0,600.0,0.743,WIMS,J31_172W,12P,1.070441,1.170765E+00,9372.21201355
Test2G,600.0,600.0,0.743,WIMS,J31_172W,AIC,0.849236,8.356898E-01,-1595.10430552
Test2H,600.0,600.0,0.743,WIMS,J31_172W,B4C,0.789746,7.717471E-01,-2279.07453789
Test2I,600.0,600.0,0.743,WIMS,J31_172W,IT,1.180561,1.176466E+00,-346.868988557
Test2O,600.0,600.0,0.743,WIMS,J31_172W,12G,1.048367,1.036471E+00,-1134.71713627
Test2P,600.0,600.0,0.743,WIMS,J31_172W,24G,0.927999,9.185651E-01,-1016.58514718
