CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library,Theoretical Keff,Simulated Keff,error in PCM
Test1A,565.0,565.0,0.743,J33_361,1.187820,1.181791E+00,-507.568486808
Test1B,600.0,600.0,0.661,J33_361,1.182935,1.176283E+00,-562.330136483
Test1C,900.0,600.0,0.661,J33_361,1.172386,1.165366E+00,-598.778900465
Test1D,1200.0,600.0,0.661,J33_361,1.163150,1.156010E+00,-613.850320251
