CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library,Theoretical Keff,Simulated Keff,error in PCM
Test1A,565.0,565.0,0.743,ENDF80_361,1.187820,1.181848E+00,-502.769779933
Test1B,600.0,600.0,0.661,ENDF80_361,1.182935,1.176274E+00,-563.09095597
Test1C,900.0,600.0,0.661,ENDF80_361,1.172386,1.165333E+00,-601.593673074
Test1D,1200.0,600.0,0.661,ENDF80_361,1.163150,1.156040E+00,-611.271117225
