GEOM, ENDF70_295_simple, ENDF70_295_1L, ENDF70_295_2L-first_level, ENDF70_295_2L-second_level
ASSBLY2A, -0.0845499364725, -177.4703166, -0.08454994, -159.7148
ASSBLY2B, -26.6039882334, -186.3123747, -26.60399, -163.0867
ASSBLY2C, -43.8509103108, -207.1636209, -43.85091, -181.2788
ASSBLY2D, -38.5889479538, -205.0359435, -38.58895, -178.8812
