CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,DLIB_361,NP,1.182733,1.187159E+00,374.218018775
Test2B,600.0,600.0,0.661,DLIB,DLIB_361,NP,1.184033,1.189055E+00,424.143583836
Test2C,900.0,600.0,0.661,DLIB,DLIB_361,NP,1.174434,1.179421E+00,424.630077127
Test2D,1200.0,600.0,0.661,DLIB,DLIB_361,NP,1.1661370,1.171190E+00,433.311008912
Test2E,600.0,600.0,0.743,DLIB,DLIB_361,12P,1.070441,1.180388E+00,10271.1872957
Test2G,600.0,600.0,0.743,DLIB,DLIB_361,AIC,0.849236,8.422951E-01,-817.311089026
Test2H,600.0,600.0,0.743,DLIB,DLIB_361,B4C,0.789746,7.901886E-01,56.0433354522
Test2I,600.0,600.0,0.743,DLIB,DLIB_361,IT,1.180561,1.185168E+00,390.238200313
Test2O,600.0,600.0,0.743,DLIB,DLIB_361,12G,1.048367,1.050410E+00,194.874504825
Test2P,600.0,600.0,0.743,DLIB,DLIB_361,24G,0.927999,9.356796E-01,827.651753935
