CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library,Theoretical Keff,Simulated Keff,error in PCM
Test1A,565.0,565.0,0.743,ENDF71_281,1.187820,1.179525E+00,-698.33813204
Test1B,600.0,600.0,0.661,ENDF71_281,1.182935,1.173833E+00,-769.442107977
Test1C,900.0,600.0,0.661,ENDF71_281,1.172386,1.162666E+00,-829.078477566
Test1D,1200.0,600.0,0.661,ENDF71_281,1.163150,1.153065E+00,-867.042083996
