CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library,Theoretical Keff,Simulated Keff,error in PCM
Test1A,565.0,565.0,0.743,E80_172W,1.187820,1.183212E+00,-387.937566298
Test1B,600.0,600.0,0.661,E80_172W,1.182935,1.178233E+00,-397.485914273
Test1C,900.0,600.0,0.661,E80_172W,1.172386,1.168168E+00,-359.779117117
Test1D,1200.0,600.0,0.661,E80_172W,1.163150,1.159369E+00,-325.065554744
