CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library,Theoretical Keff,Simulated Keff,error in PCM
Test1A,565.0,565.0,0.743,ENDF71_172,1.187820,1.175315E+00,-1052.76893805
Test1B,600.0,600.0,0.661,ENDF71_172,1.182935,1.169338E+00,-1149.42917405
Test1C,900.0,600.0,0.661,ENDF71_172,1.172386,1.157856E+00,-1239.35290937
Test1D,1200.0,600.0,0.661,ENDF71_172,1.163150,1.147839E+00,-1316.33925117
