CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,WIMS,J33_172W,NP,1.182733,1.182314E+00,-35.426423377
Test2B,600.0,600.0,0.661,WIMS,J33_172W,NP,1.184033,1.183384E+00,-54.8126614714
Test2C,900.0,600.0,0.661,WIMS,J33_172W,NP,1.174434,1.174915E+00,40.9558987563
Test2D,1200.0,600.0,0.661,WIMS,J33_172W,NP,1.1661370,1.167418E+00,109.849871842
Test2E,600.0,600.0,0.743,WIMS,J33_172W,12P,1.070441,1.174837E+00,9752.6159779
Test2G,600.0,600.0,0.743,WIMS,J33_172W,AIC,0.849236,8.427429E-01,-764.581341347
Test2H,600.0,600.0,0.743,WIMS,J33_172W,B4C,0.789746,7.760863E-01,-1729.63205892
Test2I,600.0,600.0,0.743,WIMS,J33_172W,IT,1.180561,1.180516E+00,-3.81174712701
Test2O,600.0,600.0,0.743,WIMS,J33_172W,12G,1.048367,1.041782E+00,-628.11973288
Test2P,600.0,600.0,0.743,WIMS,J33_172W,24G,0.927999,9.245282E-01,-374.009023717
