CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,ENDF71_361,NP,1.182733,1.182088E+00,-54.5347090172
Test2B,600.0,600.0,0.661,DLIB,ENDF71_361,NP,1.184033,1.183063E+00,-81.9233923379
Test2C,900.0,600.0,0.661,DLIB,ENDF71_361,NP,1.174434,1.173283E+00,-98.0046558598
Test2D,1200.0,600.0,0.661,DLIB,ENDF71_361,NP,1.1661370,1.164960E+00,-100.931537204
Test2E,600.0,600.0,0.743,DLIB,ENDF71_361,12P,1.070441,1.174708E+00,9740.56486999
Test2G,600.0,600.0,0.743,DLIB,ENDF71_361,AIC,0.849236,8.374983E-01,-1382.14818967
Test2H,600.0,600.0,0.743,DLIB,ENDF71_361,B4C,0.789746,7.843373E-01,-684.865766968
Test2I,600.0,600.0,0.743,DLIB,ENDF71_361,IT,1.180561,1.179830E+00,-61.9197144408
Test2O,600.0,600.0,0.743,DLIB,ENDF71_361,12G,1.048367,1.044127E+00,-404.438522006
Test2P,600.0,600.0,0.743,DLIB,ENDF71_361,24G,0.927999,9.287445E-01,80.3341382911
