CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,ENDF70_295,NP,1.182733,1.182732E+00,-0.0845499364725
Test2B,600.0,600.0,0.661,DLIB,ENDF70_295,NP,1.184033,1.183718E+00,-26.6039882334
Test2C,900.0,600.0,0.661,DLIB,ENDF70_295,NP,1.174434,1.173919E+00,-43.8509103108
Test2D,1200.0,600.0,0.661,DLIB,ENDF70_295,NP,1.1661370,1.165687E+00,-38.5889479538
Test2E,600.0,600.0,0.743,DLIB,ENDF70_295,12P,1.070441,1.175339E+00,9799.51253736
Test2G,600.0,600.0,0.743,DLIB,ENDF70_295,AIC,0.849236,8.369774E-01,-1443.48567418
Test2H,600.0,600.0,0.743,DLIB,ENDF70_295,B4C,0.789746,7.844727E-01,-667.721014098
Test2I,600.0,600.0,0.743,DLIB,ENDF70_295,IT,1.180561,1.180467E+00,-7.96231622085
Test2O,600.0,600.0,0.743,DLIB,ENDF70_295,12G,1.048367,1.044639E+00,-355.600662745
Test2P,600.0,600.0,0.743,DLIB,ENDF70_295,24G,0.927999,9.291468E-01,123.685478109
