CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,WIMS,J33_69W,NP,1.182733,6.302282E-01,-46714.2457342
Test2B,600.0,600.0,0.661,WIMS,J33_69W,NP,1.184033,6.076710E-01,-48677.8662419
Test2C,900.0,600.0,0.661,WIMS,J33_69W,NP,1.174434,6.074829E-01,-48274.4113335
Test2D,1200.0,600.0,0.661,WIMS,J33_69W,NP,1.1661370,6.073074E-01,-47921.4363321
Test2E,600.0,600.0,0.743,WIMS,J33_69W,12P,1.070441,6.190701E-01,-42166.8172277
Test2G,600.0,600.0,0.743,WIMS,J33_69W,AIC,0.849236,4.613106E-01,-45679.3400186
Test2H,600.0,600.0,0.743,WIMS,J33_69W,B4C,0.789746,4.362753E-01,-44757.5169738
Test2I,600.0,600.0,0.743,WIMS,J33_69W,IT,1.180561,6.294567E-01,-46681.5607156
Test2O,600.0,600.0,0.743,WIMS,J33_69W,12G,1.048367,5.651280E-01,-46094.449749
Test2P,600.0,600.0,0.743,WIMS,J33_69W,24G,0.927999,5.097894E-01,-45065.7382174
