CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,ENDF80_361,NP,1.182733,1.182072E+00,-55.8875080005
Test2B,600.0,600.0,0.661,DLIB,ENDF80_361,NP,1.184033,1.182915E+00,-94.4230439523
Test2C,900.0,600.0,0.661,DLIB,ENDF80_361,NP,1.174434,1.173209E+00,-104.305563361
Test2D,1200.0,600.0,0.661,DLIB,ENDF80_361,NP,1.1661370,1.164924E+00,-104.01865304
Test2E,600.0,600.0,0.743,DLIB,ENDF80_361,12P,1.070441,1.174773E+00,9746.63713367
Test2G,600.0,600.0,0.743,DLIB,ENDF80_361,AIC,0.849236,8.390754E-01,-1196.44009439
Test2H,600.0,600.0,0.743,DLIB,ENDF80_361,B4C,0.789746,7.855126E-01,-536.045766614
Test2I,600.0,600.0,0.743,DLIB,ENDF80_361,IT,1.180561,1.179920E+00,-54.2962201868
Test2O,600.0,600.0,0.743,DLIB,ENDF80_361,12G,1.048367,1.045518E+00,-271.755978584
Test2P,600.0,600.0,0.743,DLIB,ENDF80_361,24G,0.927999,9.308760E-01,310.021885799
