CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library,Theoretical Keff,Simulated Keff,error in PCM
Test1A,565.0,565.0,0.743,E70_172W,1.187820,1.183089E+00,-398.292670607
Test1B,600.0,600.0,0.661,E70_172W,1.182935,1.178149E+00,-404.586896152
Test1C,900.0,600.0,0.661,E70_172W,1.172386,1.167963E+00,-377.264825749
Test1D,1200.0,600.0,0.661,E70_172W,1.163150,1.158968E+00,-359.540901861
