CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,ENDF70_172,NP,1.182733,1.177746E+00,-421.65053313
Test2B,600.0,600.0,0.661,DLIB,ENDF70_172,NP,1.184033,1.178113E+00,-499.986064578
Test2C,900.0,600.0,0.661,DLIB,ENDF70_172,NP,1.174434,1.169016E+00,-461.32860595
Test2D,1200.0,600.0,0.661,DLIB,ENDF70_172,NP,1.1661370,1.160945E+00,-445.230706169
Test2E,600.0,600.0,0.743,DLIB,ENDF70_172,12P,1.070441,1.170234E+00,9322.6062903
Test2G,600.0,600.0,0.743,DLIB,ENDF70_172,AIC,0.849236,8.169071E-01,-3806.82166088
Test2H,600.0,600.0,0.743,DLIB,ENDF70_172,B4C,0.789746,7.812918E-01,-1070.49608355
Test2I,600.0,600.0,0.743,DLIB,ENDF70_172,IT,1.180561,1.175449E+00,-433.014473627
Test2O,600.0,600.0,0.743,DLIB,ENDF70_172,12G,1.048367,1.039303E+00,-864.582727232
Test2P,600.0,600.0,0.743,DLIB,ENDF70_172,24G,0.927999,9.236878E-01,-464.569466131
