CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,DLIB_281,NP,1.182733,1.186057E+00,281.043988795
Test2B,600.0,600.0,0.661,DLIB,DLIB_281,NP,1.184033,1.187878E+00,324.737570659
Test2C,900.0,600.0,0.661,DLIB,DLIB_281,NP,1.174434,1.178205E+00,321.090840354
Test2D,1200.0,600.0,0.661,DLIB,DLIB_281,NP,1.1661370,1.169916E+00,324.061409594
Test2E,600.0,600.0,0.743,DLIB,DLIB_281,12P,1.070441,1.179254E+00,10165.2496494
Test2G,600.0,600.0,0.743,DLIB,DLIB_281,AIC,0.849236,8.302558E-01,-2234.9735527
Test2H,600.0,600.0,0.743,DLIB,DLIB_281,B4C,0.789746,7.894490E-01,-37.6070280824
Test2I,600.0,600.0,0.743,DLIB,DLIB_281,IT,1.180561,1.184056E+00,296.04569353
Test2O,600.0,600.0,0.743,DLIB,DLIB_281,12G,1.048367,1.048866E+00,47.5978354908
Test2P,600.0,600.0,0.743,DLIB,DLIB_281,24G,0.927999,9.338542E-01,630.948955764
