CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,ENDF71_172,NP,1.182733,1.177561E+00,-437.292271375
Test2B,600.0,600.0,0.661,DLIB,ENDF71_172,NP,1.184033,1.177951E+00,-513.668115669
Test2C,900.0,600.0,0.661,DLIB,ENDF71_172,NP,1.174434,1.168858E+00,-474.781894938
Test2D,1200.0,600.0,0.661,DLIB,ENDF71_172,NP,1.1661370,1.160792E+00,-458.350948473
Test2E,600.0,600.0,0.743,DLIB,ENDF71_172,12P,1.070441,1.170061E+00,9306.44472699
Test2G,600.0,600.0,0.743,DLIB,ENDF71_172,AIC,0.849236,8.180482E-01,-3672.45382909
Test2H,600.0,600.0,0.743,DLIB,ENDF71_172,B4C,0.789746,7.813452E-01,-1063.73441588
Test2I,600.0,600.0,0.743,DLIB,ENDF71_172,IT,1.180561,1.175266E+00,-448.515578611
Test2O,600.0,600.0,0.743,DLIB,ENDF71_172,12G,1.048367,1.039025E+00,-891.100158628
Test2P,600.0,600.0,0.743,DLIB,ENDF71_172,24G,0.927999,9.233540E-01,-500.539332478
