CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library,Theoretical Keff,Simulated Keff,error in PCM
Test1A,565.0,565.0,0.743,ENDF71_295,1.187820,1.182052E+00,-485.595460592
Test1B,600.0,600.0,0.661,ENDF71_295,1.182935,1.176599E+00,-535.616918935
Test1C,900.0,600.0,0.661,ENDF71_295,1.172386,1.165501E+00,-587.263921609
Test1D,1200.0,600.0,0.661,ENDF71_295,1.163150,1.156044E+00,-610.927223488
