CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,WIMS,E80_172W,NP,1.182733,1.179545E+00,-269.545197437
Test2B,600.0,600.0,0.661,WIMS,E80_172W,NP,1.184033,1.180275E+00,-317.38980248
Test2C,900.0,600.0,0.661,WIMS,E80_172W,NP,1.174434,1.171837E+00,-221.127794325
Test2D,1200.0,600.0,0.661,WIMS,E80_172W,NP,1.1661370,1.164344E+00,-153.755519291
Test2E,600.0,600.0,0.743,WIMS,E80_172W,12P,1.070441,1.171867E+00,9475.1602377
Test2G,600.0,600.0,0.743,WIMS,E80_172W,AIC,0.849236,8.411087E-01,-957.013127093
Test2H,600.0,600.0,0.743,WIMS,E80_172W,B4C,0.789746,7.743635E-01,-1947.77814639
Test2I,600.0,600.0,0.743,WIMS,E80_172W,IT,1.180561,1.177592E+00,-251.49060489
Test2O,600.0,600.0,0.743,WIMS,E80_172W,12G,1.048367,1.038934E+00,-899.78032502
Test2P,600.0,600.0,0.743,WIMS,E80_172W,24G,0.927999,9.217854E-01,-669.569687036
