CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library,Theoretical Keff,Simulated Keff,error in PCM
Test1A,565.0,565.0,0.743,J31_361,1.187820,1.181237E+00,-554.208550117
Test1B,600.0,600.0,0.661,J31_361,1.182935,1.175652E+00,-615.67203608
Test1C,900.0,600.0,0.661,J31_361,1.172386,1.164663E+00,-658.742086651
Test1D,1200.0,600.0,0.661,J31_361,1.163150,1.155298E+00,-675.063405408
