CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library,Theoretical Keff,Simulated Keff,error in PCM
Test1A,565.0,565.0,0.743,J40_172W,1.187820,1.188389E+00,47.9028809079
Test1B,600.0,600.0,0.661,J40_172W,1.182935,1.183736E+00,67.7129343539
Test1C,900.0,600.0,0.661,J40_172W,1.172386,1.173649E+00,107.7290244
Test1D,1200.0,600.0,0.661,J40_172W,1.163150,1.164857E+00,146.756652194
