CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,ENDF71_281,NP,1.182733,1.180399E+00,-197.339551699
Test2B,600.0,600.0,0.661,DLIB,ENDF71_281,NP,1.184033,1.181239E+00,-235.973152775
Test2C,900.0,600.0,0.661,DLIB,ENDF71_281,NP,1.174434,1.171502E+00,-249.652172876
Test2D,1200.0,600.0,0.661,DLIB,ENDF71_281,NP,1.1661370,1.163084E+00,-261.804573562
Test2E,600.0,600.0,0.743,DLIB,ENDF71_281,12P,1.070441,1.172973E+00,9578.4821396
Test2G,600.0,600.0,0.743,DLIB,ENDF71_281,AIC,0.849236,8.247833E-01,-2879.37628645
Test2H,600.0,600.0,0.743,DLIB,ENDF71_281,B4C,0.789746,7.831122E-01,-839.991592233
Test2I,600.0,600.0,0.743,DLIB,ENDF71_281,IT,1.180561,1.178132E+00,-205.749639366
Test2O,600.0,600.0,0.743,DLIB,ENDF71_281,12G,1.048367,1.042048E+00,-602.746938811
Test2P,600.0,600.0,0.743,DLIB,ENDF71_281,24G,0.927999,9.264280E-01,-169.288975527
