CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library,Theoretical Keff,Simulated Keff,error in PCM
Test1A,565.0,565.0,0.743,DLIB_J2,1.187820,1.183028E+00,-403.428128841
Test1B,600.0,600.0,0.661,DLIB_J2,1.182935,1.178298E+00,-391.991106866
Test1C,900.0,600.0,0.661,DLIB_J2,1.172386,1.166796E+00,-476.80542074
Test1D,1200.0,600.0,0.661,DLIB_J2,1.163150,1.157039E+00,-525.38365645
