CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,ENDF70_361,NP,1.182733,1.182273E+00,-38.8929707719
Test2B,600.0,600.0,0.661,DLIB,ENDF70_361,NP,1.184033,1.183225E+00,-68.2413412464
Test2C,900.0,600.0,0.661,DLIB,ENDF70_361,NP,1.174434,1.173440E+00,-84.6365142698
Test2D,1200.0,600.0,0.661,DLIB,ENDF70_361,NP,1.1661370,1.165112E+00,-87.897048117
Test2E,600.0,600.0,0.743,DLIB,ENDF70_361,12P,1.070441,1.174878E+00,9756.44617499
Test2G,600.0,600.0,0.743,DLIB,ENDF70_361,AIC,0.84923,8.369413E-01,-1447.7365538
Test2H,600.0,600.0,0.743,DLIB,ENDF70_361,B4C,0.789746,7.842790E-01,-692.247887295
Test2I,600.0,600.0,0.743,DLIB,ENDF70_361,IT,1.180561,1.180012E+00,-46.5033149494
Test2O,600.0,600.0,0.743,DLIB,ENDF70_361,12G,1.048367,1.044405E+00,-377.92109061
Test2P,600.0,600.0,0.743,DLIB,ENDF70_361,24G,0.927999,9.290793E-01,116.411763375
