CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,ENDF70_295,NP,1.182733,1.180844,-159.7148
Test2B,600.0,600.0,0.661,DLIB,ENDF70_295,NP,1.184033,1.182102,-163.0867
Test2C,900.0,600.0,0.661,DLIB,ENDF70_295,NP,1.174434,1.172305,-181.2788
Test2D,1200.0,600.0,0.661,DLIB,ENDF70_295,NP,1.166137,1.164051,-178.8812
