CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library,Theoretical Keff,Simulated Keff,error in PCM
Test1A,565.0,565.0,0.743,E71_172W,1.187820,1.183021E+00,-404.01744372
Test1B,600.0,600.0,0.661,E71_172W,1.182935,1.178106E+00,-408.221922591
Test1C,900.0,600.0,0.661,E71_172W,1.172386,1.167924E+00,-380.591375196
Test1D,1200.0,600.0,0.661,E71_172W,1.163150,1.158934E+00,-362.463998624
