CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,ENDF71_295,NP,1.182733,1.182546E+00,-15.8108381181
Test2B,600.0,600.0,0.661,DLIB,ENDF71_295,NP,1.184033,1.183555E+00,-40.3704964304
Test2C,900.0,600.0,0.661,DLIB,ENDF71_295,NP,1.174434,1.173761E+00,-57.3041992994
Test2D,1200.0,600.0,0.661,DLIB,ENDF71_295,NP,1.1661370,1.165534E+00,-51.7091902581
Test2E,600.0,600.0,0.743,DLIB,ENDF71_295,12P,1.070441,1.175169E+00,9783.63123236
Test2G,600.0,600.0,0.743,DLIB,ENDF71_295,AIC,0.849236,8.375343E-01,-1377.90908534
Test2H,600.0,600.0,0.743,DLIB,ENDF71_295,B4C,0.789746,7.845308E-01,-660.364218369
Test2I,600.0,600.0,0.743,DLIB,ENDF71_295,IT,1.180561,1.180284E+00,-23.463421204
Test2O,600.0,600.0,0.743,DLIB,ENDF71_295,12G,1.048367,1.044360E+00,-382.213480585
Test2P,600.0,600.0,0.743,DLIB,ENDF71_295,24G,0.927999,9.288117E-01,87.5755254047
