CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library,Theoretical Keff,Simulated Keff,error in PCM
Test1A,565.0,565.0,0.743,J42_172W,1.187820,1.188352E+00,44.7879308313
Test1B,600.0,600.0,0.661,J42_172W,1.182935,1.183696E+00,64.3315144112
Test1C,900.0,600.0,0.661,J42_172W,1.172386,1.173609E+00,104.317178813
Test1D,1200.0,600.0,0.661,J42_172W,1.163150,1.164818E+00,143.40368826
