CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,DLIB,J31_361,NP,1.182733,1.181293E+00,-121.751908503
Test2B,600.0,600.0,0.661,DLIB,J31_361,NP,1.184033,1.182176E+00,-156.836844919
Test2C,900.0,600.0,0.661,DLIB,J31_361,NP,1.174434,1.172435E+00,-170.209649925
Test2D,1200.0,600.0,0.661,DLIB,J31_361,NP,1.1661370,1.164090E+00,-175.536836581
Test2E,600.0,600.0,0.743,DLIB,J31_361,12P,1.070441,1.173914E+00,9666.38983372
Test2G,600.0,600.0,0.743,DLIB,J31_361,AIC,0.849236,8.346039E-01,-1722.97217735
Test2H,600.0,600.0,0.743,DLIB,J31_361,B4C,0.789746,7.832545E-01,-821.973140731
Test2I,600.0,600.0,0.743,DLIB,J31_361,IT,1.180561,1.179035E+00,-129.260580351
Test2O,600.0,600.0,0.743,DLIB,J31_361,12G,1.048367,1.043349E+00,-478.649175336
Test2P,600.0,600.0,0.743,DLIB,J31_361,24G,0.927999,9.279746E-01,-2.62931317814
