CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,WIMS,E70_172W,NP,1.182733,1.179177E+00,-300.659574054
Test2B,600.0,600.0,0.661,WIMS,E70_172W,NP,1.184033,1.180012E+00,-339.602021227
Test2C,900.0,600.0,0.661,WIMS,E70_172W,NP,1.174434,1.171459E+00,-253.313511019
Test2D,1200.0,600.0,0.661,WIMS,E70_172W,NP,1.1661370,1.163791E+00,-201.177048666
Test2E,600.0,600.0,0.743,WIMS,E70_172W,12P,1.070441,1.171395E+00,9431.06626148
Test2G,600.0,600.0,0.743,WIMS,E70_172W,AIC,0.849236,8.381437E-01,-1306.15046936
Test2H,600.0,600.0,0.743,WIMS,E70_172W,B4C,0.789746,7.723400E-01,-2203.99976701
Test2I,600.0,600.0,0.743,WIMS,E70_172W,IT,1.180561,1.177112E+00,-292.149240912
Test2O,600.0,600.0,0.743,WIMS,E70_172W,12G,1.048367,1.037244E+00,-1060.98341516
Test2P,600.0,600.0,0.743,WIMS,E70_172W,24G,0.927999,9.194425E-01,-922.037631506
