CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library,Theoretical Keff,Simulated Keff,error in PCM
Test1A,565.0,565.0,0.743,DLIB_295,1.187820,1.188338E+00,43.6093010725
Test1B,600.0,600.0,0.661,DLIB_295,1.182935,1.183932E+00,84.2818920735
Test1C,900.0,600.0,0.661,DLIB_295,1.172386,1.173023E+00,54.3336409681
Test1D,1200.0,600.0,0.661,DLIB_295,1.163150,1.163680E+00,45.5659201307
