CaseName,Fuel Temperature,Moderator Temperature,Moderator Density,Library Type,Library,ASSBLY GEOM,Theoretical Keff,Simulated Keff,error in PCM
Test2A,565.0,565.0,0.743,WIMS,E71_172W,NP,1.182733,1.179109E+00,-306.408969734
Test2B,600.0,600.0,0.661,WIMS,E71_172W,NP,1.184033,1.179951E+00,-344.753904663
Test2C,900.0,600.0,0.661,WIMS,E71_172W,NP,1.174434,1.171400E+00,-258.33720754
Test2D,1200.0,600.0,0.661,WIMS,E71_172W,NP,1.1661370,1.163734E+00,-206.064982073
Test2E,600.0,600.0,0.743,WIMS,E71_172W,12P,1.070441,1.171334E+00,9425.36767557
Test2G,600.0,600.0,0.743,WIMS,E71_172W,AIC,0.849236,8.389063E-01,-1216.35210943
Test2H,600.0,600.0,0.743,WIMS,E71_172W,B4C,0.789746,7.726815E-01,-2160.75801587
Test2I,600.0,600.0,0.743,WIMS,E71_172W,IT,1.180561,1.177039E+00,-298.332741807
Test2O,600.0,600.0,0.743,WIMS,E71_172W,12G,1.048367,1.037031E+00,-1081.3007277
Test2P,600.0,600.0,0.743,WIMS,E71_172W,24G,0.927999,9.191302E-01,-955.690685012
